Date,CNSI,CNSI_Z,Fiedler
2020-04-09,2.60954284672773e-05,-0.07167591273347723,2.83118615985477
2020-04-10,1.7543943414957908e-05,-0.07699633954349032,2.804852491829018
2020-04-13,2.2795631883551224e-06,-0.08641433775748285,2.8521673666814795
2020-04-14,2.4290775423047966e-05,-0.07286084631874105,2.8510537162721046
2020-04-15,7.497087982325327e-06,-0.08321204076994168,2.8733730939729414
2020-04-16,3.290868062333997e-05,-0.06759693625958083,2.8968367380216056
2020-04-17,6.486969957394449e-05,-0.04801893847448567,3.0488058373032225
2020-04-20,2.910712744972184e-06,-0.08626922053483496,3.014753328894407
2020-04-21,1.0556284510103555e-05,-0.08156433257322426,3.0311232278510745
2020-04-22,2.328893401694942e-05,-0.07374909381546048,3.0279391717827955
2020-04-23,2.972407437513588e-05,-0.06981913973220717,3.0375942273642793
2020-04-24,5.814400840830143e-05,-0.052405819540316124,3.0420224929270216
2020-04-27,3.532199170007045e-06,-0.08611601199699553,3.024534082662324
2020-04-28,2.6210658706327688e-05,-0.07216979583954156,3.0313830554167636
2020-04-29,1.8931223126702186e-05,-0.07670095561277294,3.0266332607621407
2020-04-30,1.8421716210175143e-05,-0.07705362408237565,3.101018219361255
2020-05-01,3.44153272258661e-05,-0.06723282267945274,3.1194826849854356
2020-05-04,9.40218264561461e-05,-0.030641079664666348,3.1151399003908926
2020-05-05,3.963306780722285e-05,-0.06431426215559573,3.0162240725582894
2020-05-06,2.740068350253202e-05,-0.07193333199666131,2.9933231874256463
2020-05-07,9.540658203998983e-06,-0.0829766007493574,2.9751256162306317
2020-05-08,3.778503059845728e-05,-0.06562696456174087,2.989066089936071
2020-05-11,1.3481101306351727e-05,-0.08065349216781831,2.9846344568182297
2020-05-12,4.5931176908120764e-06,-0.08613921264806516,2.9654438467890243
2020-05-13,3.694453523283199e-05,-0.06623961467644722,3.0077727167797277
2020-05-14,6.670953721884009e-06,-0.0849475869137488,2.997706673686831
2020-05-15,1.0487809499467668e-05,-0.08261226990949407,3.008521627912909
2020-05-18,2.313588380429348e-05,-0.074854501035223,2.9697121141080394
2020-05-19,8.505645915036243e-05,-0.03682360106474389,2.9291605215755827
2020-05-20,1.1553715786605492e-05,-0.08221666551506493,2.9126996043761997
2020-05-21,1.0785423991780112e-05,-0.08270601197160861,2.8956306457136884
2020-05-22,2.035991652109043e-06,-0.08810328502457625,2.927303851067697
2020-05-25,1.7357655864249141e-06,-0.08828896640896015,2.9116269324393573
2020-05-26,3.984830345475425e-06,-0.08690108742154598,2.9760287071699754
2020-05-27,2.651013664074668e-05,-0.07304188658416844,2.977113584108803
2020-05-28,1.0748331984939598e-05,-0.08279390923125692,2.9906237820005095
2020-05-29,8.255056537236859e-06,-0.0843454420150481,3.001501827146187
2020-06-01,7.728544469959123e-06,-0.08468674960294202,2.9922517028223936
2020-06-02,3.46120875011132e-05,-0.068168880652102,3.042952214851235
2020-06-03,6.658863077631302e-05,-0.04858049850489527,3.0417758897197174
2020-06-04,7.93585022251533e-06,-0.08481512490217667,2.8143958841316734
2020-06-05,1.5810544002880892e-05,-0.07997580818107254,2.826752088825386
2020-06-08,3.803621958148518e-05,-0.06633887489299585,2.872460403709843
2020-06-09,2.1222905249047856e-05,-0.07675932800041253,2.7552391142154047
2020-06-10,5.003054605662529e-05,-0.059080203538546684,2.823284716968133
2020-06-11,3.3067161503805765e-05,-0.06962923109692376,2.5287993377926745
2020-06-12,0.0001452289395032437,-0.0007138001728284108,2.3212927388310876
2020-06-15,8.338938789083562e-06,-0.0852421870283864,1.2093473552013665
2020-06-16,3.0449628358018506e-05,-0.07165925220185924,3.323344986416629
2020-06-17,1.2290946265941004e-05,-0.08288807910451022,3.3790747512514825
2020-06-18,8.462098095310618e-06,-0.0852619682135449,3.656569518140067
